CODVIA,NOMVIA,NUMERO,NOM_ACTIVITAT,TIPUS,CATEGORIA,LAT,LNG,WEBSITE,TELEFON,HORARI,FONT,BARRI,DISTRICTE,ADRECA,CCAE
,c. de Sant Oleguer,75,ESCOLA DE MUSICA I CONSERVATORI PROFESSIONAL,activitat_econòmica,Educació relacionada amb la cultura,41.5479,2.11467,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Oleguer, 75 Bxs",Educació relacionada amb la cultura
,pg. de Manresa,19,ESCOLA JOSO CENTRE COMIC,activitat_econòmica,Altres activitats d'educació ncaa,41.5486,2.10819,,,,sabadellempresa.cat,EL CENTRE,1,"pg. de Manresa, 19 1r 1a",Altres activitats d'educació ncaa
,c. de Sant Llorenç,23,ESCUDE ASSESSORS,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5462,2.10592,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Sant Llorenç, 23 Bxs","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de la Creueta,7,ESPAI CREATIU,activitat_econòmica,Altres activitats d'impressió i arts gràfiques,41.547,2.09472,,,,sabadellempresa.cat,EL CENTRE,1,"c. de la Creueta, 7 Bxs",Altres activitats d'impressió i arts gràfiques
,Rambla,65,ESPAI LEGAL,activitat_econòmica,Activitats jurídiques,41.5479,2.11058,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 65 Ent 1a",Activitats jurídiques
,c. de Joan Maragall,8,ESPAI RECORDS,activitat_econòmica,Comerç al detall d'electrodomèstics en establiments especialitzats,41.5503,2.11933,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Joan Maragall, 8 Bxs",Comerç al detall d'electrodomèstics en establiments especialitzats
,c. de les Planes,35,ESSABEDE COMUNICACIO,activitat_econòmica,Agències de publicitat,41.5459,2.09935,,,,sabadellempresa.cat,EL CENTRE,1,"c. de les Planes, 35 2n 2a",Agències de publicitat
,Rambla,207,ESTAMBRIL TEXTILES INTERNATIONAL SL,activitat_econòmica,Comerç a l'engròs de tèxtils,41.5458,2.10706,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 207 1r 2a",Comerç a l'engròs de tèxtils
,Rambla,143,ESTEVE PERMANYER YGLESIAS ECONOMISTA,activitat_econòmica,"Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal",41.5465,2.10023,,,,sabadellempresa.cat,EL CENTRE,1,"Rambla, 143 2n 2a","Activitats de comptabilitat, tenidoria de llibres, auditoria i assessoria fiscal"
,c. de l' Advocat Cirera,17,ESTIL PROPI,activitat_econòmica,Perruqueria i altres tractaments de bellesa,41.5478,2.10562,,,,sabadellempresa.cat,EL CENTRE,1,"c. de l' Advocat Cirera, 17 Bxs 1a",Perruqueria i altres tractaments de bellesa
,c. de Jovellanos,66,ESTUDI CREATIU COLLAGE AND SWEET MOON TRAVEL,activitat_econòmica,Activitats de les agències de viatges,41.5441,2.11009,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Jovellanos, 66 Bxs",Activitats de les agències de viatges
,c. de Gràcia,88,ESTUDI ENGINYERIA I ARQUITECTURA PRODIS,activitat_econòmica,Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessoramen,41.5502,2.10769,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Gràcia, 88 Bxs",Serveis tècnics d'enginyeria i altres activitats relacionades amb l'assessorament tècnic
,rda. de Zamenhof,139,ESTUDI MOBLE VILALTA,activitat_econòmica,Comerç al detall d'electrodomèstics en establiments especialitzats,41.5403,2.11083,,,,sabadellempresa.cat,EL CENTRE,1,"rda. de Zamenhof, 139 Bxs 2a",Comerç al detall d'electrodomèstics en establiments especialitzats
,c. de Riego,61,ESTUDIO JURIDICO FISCAL S A,activitat_econòmica,Activitats jurídiques,41.545,2.10965,,,,sabadellempresa.cat,EL CENTRE,1,"c. de Riego, 61 Bxs 1a",Activitats jurídiques
